hcp_id,hcp_name,hcp_address,hcp_specialty,total_patients,diagnosed_patients,treated_patients,male_patients,female_patients,unknown_patients,new_patients,claims_count,male_claims,female_claims,unknown_claims,nrx,trx,cash,commercial,Aetna,Blue Cross,Cigna,UnitedHealthcare,Medicare,Medicaid,BrandA,BrandB,BrandC,planned_calls,calls_made,patient_count_2024-01,patient_count_2024-02,patient_count_2024-03,patient_count_2024-04,patient_count_2024-05,patient_count_2024-06,patient_count_2024-07,patient_count_2024-08,patient_count_2024-09,patient_count_2024-10,patient_count_2024-11,patient_count_2024-12,claim_count_2024-01,claim_count_2024-02,claim_count_2024-03,claim_count_2024-04,claim_count_2024-05,claim_count_2024-06,claim_count_2024-07,claim_count_2024-08,claim_count_2024-09,claim_count_2024-10,claim_count_2024-11,claim_count_2024-12,notes,call_date
HCP0028,Glenn Clark,"2968 Walker Ways Suite 061, Johnsonview, CA 61108, New Austin, Wisconsin 82009",Psychiatry,967,247,198,467,108,392,288,632,432,160,40,401,559,166,3241,955,638,202,467,701,278,551,146,212,10,10,14,21,66,56,27,10,41,43,74,25,8,7,35,5,8,40,23,9,27,48,11,21,27,40,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -1.4 percent (551 scripts) in the past 1 year.",2025-05-02
HCP0029,Edwin Wood,"35330 Allison Walk Suite 487, Port Dustin, NH 61081, North Anthony, Louisiana 48556",Radiology,387,106,106,265,20,102,28,246,16,189,41,11,224,37,1494,276,335,366,167,333,17,3,210,153,15,6,18,23,12,20,14,7,7,22,6,18,5,22,6,3,9,20,1,13,18,1,6,19,10,10,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -98.7 percent (3 scripts) in the past 1 year.",2025-03-02
HCP0030,Kathy Gibbs,"86639 Samuel Pike, Josephport, IN 17980, Taylorstad, Iowa 59696",Oncology,830,188,136,758,56,16,239,695,72,532,91,332,670,265,3662,602,742,569,688,291,770,342,287,329,15,14,55,65,53,27,10,67,13,32,27,29,53,41,6,20,5,50,27,8,13,2,57,18,19,2,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -49.0 percent (342 scripts) in the past 1 year.",2025-08-24
HCP0031,Rhonda Sexton,"3398 Jason Ville, North Abigailland, IA 36821, Charlesshire, Washington 38235",Endocrinology,573,453,436,263,115,195,286,96,95,1,0,23,63,32,1651,210,462,82,562,26,309,52,6,17,11,8,15,25,22,18,21,14,8,0,1,41,26,44,1,5,7,5,0,0,4,5,4,2,4,6,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -17.5 percent (52 scripts) in the past 1 year.",2025-06-14
HCP0032,Christine Porter,"USCGC Smith, FPO AE 89836, South Heatherville, Missouri 07468",Oncology,225,114,79,14,166,45,19,197,159,15,23,48,85,71,477,0,125,126,161,6,59,136,66,124,6,2,0,13,15,11,6,7,14,16,18,6,14,2,11,7,5,14,5,8,0,3,2,15,12,14,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was 60.0 percent (136 scripts) in the past 1 year.",2025-10-26
HCP0033,Katie Barrett,"Unit 5534 Box 8357, DPO AE 60237, Joelberg, Pennsylvania 53975",Urology,444,131,72,320,65,59,24,276,133,26,117,84,128,28,1286,393,76,170,205,241,201,191,189,187,9,7,18,21,16,20,5,6,11,25,27,33,0,21,6,15,20,0,9,2,12,22,0,15,13,4,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was 49.2 percent (191 scripts) in the past 1 year.",2025-08-11
HCP0034,William Cooke,"888 Murphy Inlet, Port Jessica, LA 41277, New Larryland, Georgia 58271",Psychiatry,435,296,104,359,76,0,146,409,198,29,182,56,357,131,802,334,116,44,87,119,102,395,257,147,17,7,18,10,15,4,16,19,26,1,15,34,0,16,24,24,2,5,13,23,14,32,24,4,4,21,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND B was 10.6 percent (395 scripts) in the past 1 year.",2025-12-22
HCP0035,Wesley Williams DVM,"643 Charles Grove Apt. 099, Lake Jacquelinehaven, KY 68730, Blackberg, South Dakota 92659",Urology,609,204,147,76,200,333,53,71,58,8,5,35,58,294,2034,300,173,422,571,424,144,45,71,54,17,9,49,44,20,35,18,15,47,44,39,30,34,42,2,2,4,3,5,5,4,3,5,1,3,0,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -22.4 percent (45 scripts) in the past 1 year.",2025-02-19
HCP0036,Laura Anderson,"0935 Paul Circle Suite 389, Brianborough, OR 16879, East Jonathanmouth, Oklahoma 41220",Gastroenterology,212,108,36,202,6,4,25,176,2,102,72,18,152,86,590,59,191,41,178,73,48,41,98,111,20,10,10,15,9,16,1,12,14,0,14,17,5,10,8,5,3,14,6,9,9,4,11,11,7,1,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND B was -73.0 percent (41 scripts) in the past 1 year.",2025-12-23
HCP0037,James Stanley,"202 Lisa Shoals Apt. 063, Rogerport, AZ 32674, Sarahmouth, Rhode Island 16346",Pediatrics,151,137,33,115,11,25,55,65,52,5,8,54,55,14,609,136,11,100,111,142,109,57,35,25,7,3,12,5,8,9,5,4,10,1,1,4,3,8,4,2,3,3,2,1,1,4,1,0,3,3,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND B was 3.6 percent (57 scripts) in the past 1 year.",2025-02-04
HCP0038,Paul Pruitt,"69258 Thomas Drive Suite 795, Mckenziefurt, MN 20542, South Jill, Hawaii 34982",Urology,282,266,261,270,9,3,62,186,108,56,22,144,163,34,689,120,112,82,59,83,233,128,49,44,19,11,7,22,12,2,1,6,18,23,0,3,16,22,7,7,1,8,13,7,13,1,8,14,10,11,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -21.5 percent (128 scripts) in the past 1 year.",2025-05-09
HCP0039,Jeffrey Perez,"52285 Freeman Pass Suite 498, Taraport, AL 23279, North Victoria, Maine 88764",Oncology,640,496,240,84,191,365,117,534,446,21,67,25,203,197,1510,219,221,262,570,144,94,465,63,45,10,7,30,17,14,8,26,44,37,21,30,21,28,0,20,4,17,20,11,10,25,19,0,13,4,0,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND B was 129.1 percent (465 scripts) in the past 1 year.",2025-09-27
HCP0040,Jessica Thompson,"969 Bruce Summit Apt. 187, Estradaview, AS 38395, Port Joseph, Oklahoma 12624",Psychiatry,831,698,441,418,363,50,290,111,88,22,1,97,106,124,1734,441,156,149,359,479,150,79,42,110,7,0,57,9,46,33,3,67,58,16,39,30,0,52,8,0,9,7,1,0,3,1,9,5,6,2,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -25.5 percent (79 scripts) in the past 1 year.",2025-10-03
HCP0041,Mark Torres,"520 Jeremiah Ville Apt. 084, Dunnburgh, NJ 31064, Jameston, North Dakota 54287",Psychiatry,448,300,167,291,78,79,139,304,199,33,72,98,113,103,1084,18,138,86,35,447,360,70,80,46,5,3,36,30,15,18,26,19,9,2,19,19,3,34,3,7,21,19,7,4,14,6,11,2,19,23,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -38.1 percent (70 scripts) in the past 1 year.",2025-12-02
HCP0042,Joann Ingram,"2578 Taylor Meadows, Brookeside, VA 95781, Riveraberg, West Virginia 37298",Radiology,699,151,131,209,33,457,100,642,6,72,564,360,405,213,2412,118,638,274,98,657,627,327,170,345,13,12,4,33,21,56,25,27,37,51,26,46,23,46,47,24,21,26,0,30,36,50,45,42,40,40,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -19.3 percent (327 scripts) in the past 1 year.",2025-11-05
HCP0043,Harry Martin,"804 Michael Ville Suite 868, North Alicia, NC 28389, Paynefort, Ohio 44261",Radiology,111,100,96,73,22,16,47,52,3,27,22,25,49,39,340,6,108,94,20,8,104,20,40,10,20,12,4,5,8,7,7,1,3,1,6,9,9,7,0,3,2,1,4,0,0,3,4,2,4,2,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -59.2 percent (20 scripts) in the past 1 year.",2025-07-25
HCP0044,Nancy Nelson,"984 Castillo Coves, West Megan, VI 13640, North Lori, Georgia 23879",Psychiatry,150,51,48,49,7,94,18,89,2,63,24,27,88,26,306,29,6,143,9,16,103,27,70,84,15,6,9,12,12,8,1,3,1,5,2,3,10,7,6,3,7,4,2,6,7,4,6,4,3,0,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -69.3 percent (27 scripts) in the past 1 year.",2025-07-18
HCP0045,Brian Guerra,"1419 Stephanie Trail Suite 823, Whitakerville, KY 39906, Charlesburgh, Minnesota 33341",Neurology,638,418,377,315,266,57,245,219,216,0,3,195,211,94,1951,79,340,338,299,405,490,38,34,74,11,0,27,10,5,39,14,38,36,19,31,33,24,23,8,17,3,6,4,4,7,10,3,2,7,14,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -82.0 percent (38 scripts) in the past 1 year.",2025-07-19
HCP0046,Larry Lopez,"0292 Johnson Coves Suite 673, Lake Steven, ID 22489, Jacobberg, Alabama 30345",Endocrinology,460,316,116,332,29,99,94,223,127,51,45,12,215,202,1289,148,69,410,457,90,115,198,73,58,7,4,6,8,15,3,30,4,22,11,13,2,33,25,4,9,7,16,4,5,2,2,5,15,10,10,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND B was -7.9 percent (198 scripts) in the past 1 year.",2025-04-08
HCP0047,Darius Jensen DVM,"4203 Lin Loop, North Jason, VA 22673, Cordovabury, Nevada 48006",Oncology,579,327,166,81,328,170,233,201,170,5,26,162,184,155,1520,215,108,441,54,512,190,128,55,66,6,1,29,13,42,24,23,48,48,35,0,48,0,24,15,16,5,0,2,14,1,12,7,10,10,4,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -30.4 percent (128 scripts) in the past 1 year.",2025-07-03
HCP0048,Thomas Lee,"09729 Brian Burg, Matthewtown, MT 13658, North Jenniferstad, Arizona 98179",Oncology,214,155,139,77,28,109,73,107,1,17,89,46,53,44,787,23,204,162,146,152,100,2,80,4,15,8,14,5,13,10,5,7,8,12,9,10,1,15,0,5,0,7,0,7,1,8,2,5,1,5,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -96.2 percent (2 scripts) in the past 1 year.",2025-04-03
HCP0049,Denise Moore,"87871 Rojas Village Apt. 021, Rodriguezland, MO 03161, Beasleyborough, Oregon 27105",Urology,835,653,239,768,66,1,18,623,68,251,304,336,354,16,3522,188,744,597,652,515,826,403,37,516,5,3,57,21,16,9,21,40,33,37,48,68,13,1,2,42,48,4,9,8,35,2,37,49,33,0,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND B was 13.8 percent (403 scripts) in the past 1 year.",2025-12-29
HCP0050,Timothy Evans,"PSC 5887, Box 7675, APO AP 62024, Lake Sarabury, Alaska 48623",Oncology,570,264,227,7,418,145,231,507,334,49,124,477,491,103,2107,549,134,146,488,324,466,79,329,363,16,7,14,28,43,18,29,32,9,17,7,30,17,40,10,39,10,21,16,37,26,40,41,14,32,19,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -83.9 percent (79 scripts) in the past 1 year.",2025-06-08
HCP0051,Kimberly Aguilar,"18638 Courtney Manors Suite 093, Lake Justinfort, IA 46188, New Debbieborough, North Carolina 86806",Dermatology,645,225,120,444,117,84,245,215,215,0,0,88,101,121,1878,213,261,408,439,510,47,7,93,121,15,13,1,33,45,32,13,14,51,30,30,14,21,47,3,13,6,12,0,2,13,3,7,7,5,8,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -93.1 percent (7 scripts) in the past 1 year.",2025-06-26
HCP0052,Zachary Krueger,"853 Haney Dale, Nicholasfurt, OR 54480, Emilyborough, Maine 23262",Urology,516,278,225,419,48,49,100,236,101,14,121,225,229,158,1678,249,189,469,348,330,93,134,190,52,18,3,3,10,15,7,36,4,34,24,2,40,42,18,10,12,19,2,9,8,1,4,2,14,13,11,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -41.5 percent (134 scripts) in the past 1 year.",2025-08-19
HCP0053,Brandon Rogers,"PSC 9590, Box 4867, APO AE 83230, Jessicabury, Hawaii 63563",Endocrinology,724,174,122,195,483,46,223,386,102,160,124,128,194,322,1863,369,453,10,533,256,242,245,263,112,16,14,59,29,40,43,3,28,38,43,28,10,31,14,0,2,29,5,7,1,8,20,29,9,26,14,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was 26.3 percent (245 scripts) in the past 1 year.",2025-06-25
HCP0054,Mr. Reginald Rodriguez,"22350 Patrick Hill Suite 119, North Wendy, LA 10367, Stokesmouth, New Mexico 75861",Urology,483,62,57,39,344,100,147,359,76,144,139,183,304,107,1479,273,56,209,428,465,48,310,203,114,11,1,12,40,26,40,5,8,23,27,29,39,9,6,8,2,24,1,18,15,18,15,7,5,24,28,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was 2.0 percent (310 scripts) in the past 1 year.",2025-12-24
